task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
32	19/8461dd	fastqc2_report_1_3	SRR1027078	COMPLETED	0	2018-11-01 09:44:04.258	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.6s	122ms	-	0,0%	0,1%	96 MB	279 MB	64 KB	162 B
35	d4/6539d0	report	SRR1027078	COMPLETED	0	2018-11-01 09:44:05.903	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.9s	125ms	-	0,0%	0,0%	27 MB	176 MB	0	0
33	48/b4fd1a	status	SRR1027078	COMPLETED	0	2018-11-01 09:44:05.902	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	2s	20ms	-	0,0%	0,0%	0	0	0	0
27	a0/4f3788	fastqc2_1_3	SRR1027077	COMPLETED	0	2018-11-01 09:43:55.151	flowcraft/fastqc:0.11.7-1	2	-	-	4 GB	17.6s	15s	-	173,5%	2,0%	3099 MB	28 GB	1198 MB	947 KB
36	5c/d6ac5d	status	SRR1027077	COMPLETED	0	2018-11-01 09:44:12.793	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.6s	15ms	-	0,0%	0,0%	0	0	0	0
38	a9/b744e0	report	SRR1027077	COMPLETED	0	2018-11-01 09:44:12.794	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.7s	76ms	-	0,0%	0,0%	26 MB	176 MB	0	0
37	39/bb42d0	fastqc2_report_1_3	SRR1027077	COMPLETED	0	2018-11-01 09:44:12.794	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.9s	99ms	-	0,0%	0,1%	87 MB	275 MB	9168 KB	81 KB
40	0b/4391c5	report	SRR1027077	COMPLETED	0	2018-11-01 09:44:14.677	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.8s	108ms	-	0,0%	0,0%	26 MB	176 MB	0	16 B
41	68/f927f2	status	SRR1027077	COMPLETED	0	2018-11-01 09:44:14.678	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	2.1s	28ms	-	0,0%	0,0%	0	0	0	0
42	54/549c3b	compile_fastqc_status2_1_3	-	COMPLETED	0	2018-11-01 09:44:16.539	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.3s	7ms	-	0,0%	0,0%	0	0	0	0
34	19/ffd6c5	integrity_coverage2_1_4	SRR1027078	COMPLETED	0	2018-11-01 09:44:07.812	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	12s	8.3s	-	96,1%	0,1%	109 MB	378 MB	774 MB	17 KB
43	46/1906f1	status	SRR1027078	COMPLETED	0	2018-11-01 09:44:19.811	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.4s	30ms	-	0,0%	0,0%	0	0	0	0
44	9a/cc9005	report	SRR1027078	COMPLETED	0	2018-11-01 09:44:19.812	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.6s	74ms	-	0,0%	0,0%	0	176 MB	0	0
39	60/589855	integrity_coverage2_1_4	SRR1027077	COMPLETED	0	2018-11-01 09:44:14.676	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	11.9s	7.7s	-	98,6%	0,1%	109 MB	378 MB	815 MB	17 KB
45	2e/f892d7	report	SRR1027077	COMPLETED	0	2018-11-01 09:44:26.566	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.2s	82ms	-	0,0%	0,0%	27 MB	176 MB	77 KB	0
46	3e/1fb4bb	status	SRR1027077	COMPLETED	0	2018-11-01 09:44:26.567	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.4s	13ms	-	0,0%	0,0%	0	0	0	0
47	4f/e1dd7c	report_coverage2_1_4	-	COMPLETED	0	2018-11-01 09:44:26.567	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.5s	8ms	-	0,0%	0,0%	0	0	0	0
48	e8/917a28	compile_reports	-	COMPLETED	0	2018-11-01 09:44:27.770	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.5s	96ms	-	0,0%	0,1%	82 MB	27 MB	4884 KB	0
49	22/e3d303	compile_status_buffer	-	COMPLETED	0	2018-11-01 09:44:28.022	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.6s	27ms	-	0,0%	0,0%	0	0	0	0
50	ba/2b2089	compile_status	-	COMPLETED	0	2018-11-01 09:44:29.645	flowcraft/flowcraft_base:1.0.0-1	1	-	-	1 GB	1.1s	8ms	-	0,0%	0,0%	0	0	0	0
